adm0_name,adm0_code,adm0_pcod3,adm0_pcod2,adm1_name,adm1_code,adm1_pcod3,adm1_pcod2,adm2_name,adm2_code,adm2_pcod3,adm2_pcod2
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Bouza,22572,NER005004,NE0504
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Illela,123650,NER005005,NE0505
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Keita,22574,NER005006,NE0506
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Madaoua,22575,NER005007,NE0507
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Malbaza,123649,NER005008,NE0508
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Tassara,123653,NER005010,NE0510
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Tchintabaraden,123652,NER005011,NE0511
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Tillia,22577,NER005012,NE0512
Niger,181,NER,NE,Maradi,2205,NER004,NE04,Bermo,123660,NER004002,NE0402
Niger,181,NER,NE,Maradi,2205,NER004,NE04,Dakoro,22563,NER004003,NE0403
Niger,181,NER,NE,Maradi,2205,NER004,NE04,Gazaoua,123667,NER004004,NE0404
Niger,181,NER,NE,Maradi,2205,NER004,NE04,Madarounfa,22565,NER004006,NE0406
Niger,181,NER,NE,Maradi,2205,NER004,NE04,Mayahi,22566,NER004008,NE0408
Niger,181,NER,NE,Maradi,2205,NER004,NE04,Tessaoua,22567,NER004009,NE0409
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Magaria,22585,NER007006,NE0706
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Dungass,123665,NER007003,NE0703
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Mirriah,123663,NER007007,NE0707
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Damagaram Takaya,22587,NER007002,NE0702
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Takeita,123662,NER007008,NE0708
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Belbedji,22588,NER007001,NE0701
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Tanout,123666,NER007009,NE0709
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Tesker,22584,NER007010,NE0710
Nigeria,182,NGA,NG,Benue,2215,NGA007,NG07,Central,NA,NA,NA
Niger,181,NER,NE,Dosso,2204,NER003,NE03,Falmey,22557,NER003005,NE0305
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Central,NA,NA,NA
Nigeria,182,NGA,NG,Gombe,65704,NGA016,NG16,Central,NA,NA,NA
Niger,181,NER,NE,Maradi,2205,NER004,NE04,Aguie,22562,NER004001,NE0401
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Bankilare,123640,NER006005,NE0605
Nigeria,182,NGA,NG,Kaduna,2224,NGA019,NG19,Central,NA,NA,NA
Nigeria,182,NGA,NG,Kano,2225,NGA020,NG20,Central,NA,NA,NA
Nigeria,182,NGA,NG,Katsina,2226,NGA021,NG21,Central,NA,NA,NA
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Filingue,123643,NER006006,NE0606
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Gotheye,22582,NER006007,NE0607
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Ville De Tahoua,22569,NER005013,NE0513
Niger,181,NER,NE,Maradi,2205,NER004,NE04,Ville De Maradi,123668,NER004007,NE0407
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Ville De Zinder,22570,NER007011,NE0711
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Goure,123664,NER007004,NE0704
Niger,181,NER,NE,Maradi,2205,NER004,NE04,Guidan-Roumdji,22564,NER004005,NE0405
Nigeria,182,NGA,NG,Kebbi,2227,NGA022,NG22,Central,NA,NA,NA
Niger,181,NER,NE,Zinder,2209,NER007,NE07,Kantche,22586,NER007005,NE0705
Niger,181,NER,NE,Diffa,2203,NER002,NE02,Maine-Soroa,123659,NER002004,NE0204
Nigeria,182,NGA,NG,Plateau,65707,NGA032,NG32,Central,NA,NA,NA
Nigeria,182,NGA,NG,Sokoto,65709,NGA034,NG34,Central,NA,NA,NA
Nigeria,182,NGA,NG,Taraba,2239,NGA035,NG35,Central,NA,NA,NA
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Tahoua Dep,NA,NA,NA
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Tera,123641,NER006011,NE0611
Niger,181,NER,NE,Dosso,2204,NER003,NE03,Tibiri (Doutchi),22558,NER003008,NE0308
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Tillaberi,22583,NER006012,NE0612
Nigeria,182,NGA,NG,Zamfara,65710,NGA037,NG37,Central,NA,NA,NA
Nigeria,182,NGA,NG,Katsina,2226,NGA021,NG21,Central - Sudan,NA,NA,NA
Nigeria,182,NGA,NG,Bauchi,65699,NGA005,NG05,Central  Zone 1,NA,NA,NA
Nigeria,182,NGA,NG,Plateau,65707,NGA032,NG32,Central Zone,NA,NA,NA
Nigeria,182,NGA,NG,Zamfara,65710,NGA037,NG37,Central Zone,NA,NA,NA
Mali,155,MLI,ML,Bamako,1926,MLI009,ML09,Commune I,NA,MLI00900101,ML090101
Mali,155,MLI,ML,Bamako,1926,MLI009,ML09,Commune II,NA,MLI00900102,ML090102
Mali,155,MLI,ML,Bamako,1926,MLI009,ML09,Commune III,NA,MLI00900103,ML090103
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Madagali,22610,NGA002010,NG0210
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Michika,22613,NGA002013,NG0213
