adm0_name,adm1_name,adm1_namechanged,adm1_code,adm1_pcod3,adm2_name,adm2_namechanged,adm2_code,adm2_pcod3,adm0_code,adm0_pcod3
Niger,Zinder,Zinder,NA,NER007,Magaria,Magaria,22585,NER007006,181,NER
Niger,Zinder,Zinder,NA,NER007,Kantché,Kantché,22586,NER007005,181,NER
Niger,Zinder,Zinder,NA,NER007,Damagaram Takaya,Damagaram Takaya,22587,NER007002,181,NER
Niger,Zinder,Zinder,NA,NER007,Belbedji,Belbedji,22588,NER007001,181,NER
Nigeria,Ebonyi,Ebonyi,65701,NGA011,Afikpo North,Afikpo North,22590,NGA011002,182,NGA
Nigeria,Ebonyi,Ebonyi,65701,NGA011,Afikpo South,Afikpo South,22591,NGA011003,182,NGA
Nigeria,Abia,Abia,65698,NGA001,Arochukwu,Arochukwu,22592,NGA001003,182,NGA
Nigeria,Abia,Abia,65698,NGA001,Bende,Bende,22593,NGA001004,182,NGA
Nigeria,Abia,Abia,65698,NGA001,Ikwuano,Ikwuano,22594,NGA001005,182,NGA
Nigeria,Abia,Abia,65698,NGA001,Ohafia,Ohafia,22598,NGA001010,182,NGA
Nigeria,Ebonyi,Ebonyi,65701,NGA011,Onicha,Onicha,22600,NGA011013,182,NGA
Nigeria,Abia,Abia,65698,NGA001,Ukwa East,Ukwa East,22601,NGA001013,182,NGA
Nigeria,Abia,Abia,65698,NGA001,Osisioma Ngwa,Osisioma Ngwa,22602,NGA001011,182,NGA
Nigeria,Abia,Abia,65698,NGA001,Ukwa West,Ukwa West,22602,NGA001014,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Fufore,Fufore,22604,NGA002002,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Gireri,Gireri,22606,NGA002004,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Guyuk,Guyuk,22607,NGA002006,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Hong,Hong,22608,NGA002007,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Jada,Jada,22609,NGA002008,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Madagali,Madagali,22610,NGA002010,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Maiha,Maiha,22611,NGA002011,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Mayo-Belwa,Mayo-Belwa,22612,NGA002012,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Michika,Michika,22613,NGA002013,182,NGA
Nigeria,Adamawa,Adamawa,2211,NGA002,Shelleng,Shelleng,22616,NGA002017,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Abak,Abak,22619,NGA003001,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Eket,Eket,22620,NGA003003,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Essien Udim,Essien Udim,22622,NGA003005,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Ikono,Ikono,22625,NGA003012,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Ini,Ini,22628,NGA003015,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Mkpat Enin,Mkpat Enin,22631,NGA003018,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Nsit Ibom,Nsit Ibom,22632,NGA003020,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Nsit Ubium,Nsit Ubium,22633,NGA003021,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Okobo,Okobo,22634,NGA003023,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Onna,Onna,22635,NGA003024,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Oruk Anam,Oruk Anam,22637,NGA003026,182,NGA
