country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35,status
Nigeria,Gombe,Akko,508820,1,473202.6,35617.4,0,0,0,0,outofcamp
Nigeria,Gombe,Yamaltu Deba,384413,1,357504.09,26908.91,0,0,0,0,outofcamp
Nigeria,Gombe,Dukku,312036,1,277712.04,31203.6,3120.36,0,0,3120.36,outofcamp
Nigeria,Gombe,Funakaye,355556,1,316444.84,35555.6,3555.56,0,0,3555.56,outofcamp
Nigeria,Gombe,Gombe,403618,1,359220.02,40361.8,4036.18,0,0,4036.18,outofcamp
Nigeria,Gombe,Kwami,294126,1,261772.14,29412.6,2941.26,0,0,2941.26,outofcamp
Nigeria,Gombe,Nafada,208112,1,185219.68,20811.2,2081.12,0,0,2081.12,outofcamp
Nigeria,Gombe,Balanga,320107,1,291297.37,28809.63,0,0,0,0,outofcamp
Nigeria,Gombe,Billiri,304437,1,277037.67,27399.33,0,0,0,0,outofcamp
Nigeria,Gombe,Kaltungo,225612,1,205306.92,20305.08,0,0,0,0,outofcamp
Nigeria,Gombe,Shongom,228195,1,207657.45,20537.55,0,0,0,0,outofcamp
Nigeria,Kaduna,Zangon Kataf,479203,1,412114.58,57504.36,9584.06,0,0,9584.06,outofcamp
Nigeria,Kaduna,Kachia,379418,1,326299.48,45530.16,7588.36,0,0,7588.36,outofcamp
Nigeria,Kaduna,Kagarko,358698,1,308480.28,43043.76,7173.96,0,0,7173.96,outofcamp
Nigeria,Kaduna,Kauru,332408,1,285870.88,39888.96,6648.16,0,0,6648.16,outofcamp
Nigeria,Kaduna,Kaura,262329,1,225602.94,31479.48,5246.58,0,0,5246.58,outofcamp
Nigeria,Kaduna,Jaba,234307,1,201504.02,28116.84,4686.14,0,0,4686.14,outofcamp
Nigeria,Kaduna,Jema'a ,417928,1,359418.08,50151.36,8358.56,0,0,8358.56,outofcamp
Nigeria,Kaduna,Sanga,227565,1,195705.9,27307.8,4551.3,0,0,4551.3,outofcamp
Nigeria,Kaduna,Birnin Gwari,388451,1,318529.82,58267.65,11653.53,0,0,11653.53,outofcamp
Nigeria,Kaduna,Kaduna South,605001,1,496100.82,90750.15,18150.03,0,0,18150.03,outofcamp
Nigeria,Kaduna,Kaduna South,547681,1,449098.42,82152.15,16430.43,0,0,16430.43,outofcamp
Nigeria,Kaduna,Chikun,559243,1,458579.26,83886.45,16777.29,0,0,16777.29,outofcamp
Nigeria,Kaduna,Kajuru,164961,1,135268.02,24744.15,4948.83,0,0,4948.83,outofcamp
Nigeria,Kaduna,Giwa,647098,1,530620.36,97064.7,19412.94,0,0,19412.94,outofcamp
Nigeria,Kaduna,Igabi,647096,1,530618.72,97064.4,19412.88,0,0,19412.88,outofcamp
Nigeria,Kaduna,Lere,510373,1,428713.32,76555.95,5103.73,0,0,5103.73,outofcamp
Nigeria,Kaduna,Zaria,611399,1,513575.16,91709.85,6113.99,0,0,6113.99,outofcamp
Nigeria,Kaduna,Kubau,421686,1,354216.24,63252.9,4216.86,0,0,4216.86,outofcamp
Nigeria,Kaduna,Soba,437412,1,367426.08,65611.8,4374.12,0,0,4374.12,outofcamp
Nigeria,Kaduna,Makarfi,220190,1,184959.6,33028.5,2201.9,0,0,2201.9,outofcamp
Nigeria,Kaduna,Sabon Gari,437692,1,367661.28,65653.8,4376.92,0,0,4376.92,outofcamp
Nigeria,Kaduna,Ikara,292520,1,245716.8,43878,2925.2,0,0,2925.2,outofcamp
Nigeria,Kaduna,Kudan,208745,1,175345.8,31311.75,2087.45,0,0,2087.45,outofcamp
Nigeria,Kano,DALA ,665416.9078,1,552296.0335,86504.19802,26616.67631,0,0,26616.67631,outofcamp
Nigeria,Kano,D/KUDU ,358290.8999,1,297381.4469,46577.81699,14331.636,0,0,14331.636,outofcamp
Nigeria,Kano,FAGGE ,317955.187,1,263902.8052,41334.17431,12718.20748,0,0,12718.20748,outofcamp
