country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35,status
Nigeria,FCT,KUJE,589998,1,495598.32,82599.72,11799.96,0,0,11799.96,outofcamp
Nigeria,Benue,OTUKPO,393484,1,318722.04,62957.44,11804.52,0,0,11804.52,outofcamp
Nigeria,Kano,ALBASU ,298162,1,247474.46,38761.06,11926.48,0,0,11926.48,outofcamp
Nigeria,Bauchi,Ningi,597989,1,490350.98,95678.24,11959.78,0,0,11959.78,outofcamp
Nigeria,Kano,WUDIL ,299751,1,248793.33,38967.63,11990.04,0,0,11990.04,outofcamp
Nigeria,Gombe,Gombe,403618,1,330966.76,60542.7,12108.54,0,0,12108.54,outofcamp
Nigeria,Kano,BEBEJI ,304958,1,253115.14,39644.54,12198.32,0,0,12198.32,outofcamp
Nigeria,Kaduna,Zaria,611399,1,495233.19,103937.83,12227.98,0,0,12227.98,outofcamp
Nigeria,Zamfara,Kaura Namoda,425395,1,344569.95,68063.2,12761.85,0,0,12761.85,outofcamp
Nigeria,Kano,TAKAI ,321997,1,267257.51,41859.61,12879.88,0,0,12879.88,outofcamp
Nigeria,Katsina,Katsina,429400,1,347814,68704,12882,0,0,12882,outofcamp
Nigeria,Plateau,Barkin Ladi,259090,1,212453.8,33681.7,12954.5,0,0,12954.5,outofcamp
Nigeria,Plateau,Mangu,433033,1,372408.38,47633.63,12990.99,0,0,12990.99,outofcamp
Nigeria,Adamawa,Hong,262998,1,213028.38,36819.72,13149.9,0,0,13149.9,outofcamp
Nigeria,Kano,GAYA ,329593,1,273562.19,42847.09,13183.72,0,0,13183.72,outofcamp
Nigeria,Bauchi,Gamawa,442305,2,340574.85,88461,13269.15,0,0,13269.15,outofcamp
Nigeria,Kaduna,Kauru,332408,1,269250.48,49861.2,13296.32,0,0,13296.32,outofcamp
Nigeria,Kano,DANBATTA ,334447,1,277591.01,43478.11,13377.88,0,0,13377.88,outofcamp
Nigeria,Kano,GABASAWA ,335607,1,278553.81,43628.91,13424.28,0,0,13424.28,outofcamp
Nigeria,FCT,GWAGWALADA,674471,1,566555.64,94425.94,13489.42,0,0,13489.42,outofcamp
Nigeria,Plateau,Bassa,273541,1,224303.62,35560.33,13677.05,0,0,13677.05,outofcamp
Nigeria,Bauchi,Katagum,457104,2,351970.08,91420.8,13713.12,0,0,13713.12,outofcamp
Nigeria,Adamawa,Toungo,81112,2,40556,26766.96,12977.92,811.12,0,13789.04,outofcamp
Nigeria,Borno,Ngala,55168,3,22067.2,19308.8,13792,0,0,13792,incamp
Nigeria,Adamawa,Lamurde,172947,2,114145.02,44966.22,13835.76,0,0,13835.76,outofcamp
Nigeria,Kano,MAKODA ,349734,1,290279.22,45465.42,13989.36,0,0,13989.36,outofcamp
Nigeria,FCT,AMAC,1415354,1,1231357.98,169842.48,14153.54,0,0,14153.54,outofcamp
Nigeria,Kaduna,Kagarko,358698,1,290545.38,53804.7,14347.92,0,0,14347.92,outofcamp
Nigeria,Kano,ROGO ,361672,1,300187.76,47017.36,14466.88,0,0,14466.88,outofcamp
Nigeria,Kano,T/WADA ,363342,1,301573.86,47234.46,14533.68,0,0,14533.68,outofcamp
Nigeria,Kaduna,Kachia,379418,1,307328.58,56912.7,15176.72,0,0,15176.72,outofcamp
Nigeria,Borno,Dikwa,60777,3,24310.8,21271.95,15194.25,0,0,15194.25,incamp
Nigeria,Adamawa,Maiha,171269,2,114750.23,41104.56,15414.21,0,0,15414.21,outofcamp
Nigeria,Adamawa,Yola North,310397,1,251421.57,43455.58,15519.85,0,0,15519.85,outofcamp
Nigeria,Kano,D/TOFA ,391212,1,324705.96,50857.56,15648.48,0,0,15648.48,outofcamp
Nigeria,Borno,Ngala,75486,3,15852.06,43781.88,13587.48,2264.58,0,15852.06,outofcamp
